id,lat,lng,categoria_pbi,dia_pbi,endereco_pbi,subprefeitura_pbi
1208-4,-23.5016505,-46.6713802,Tradicional,Domingo,"Praça Antonio Franco Velasco, 0 - Limao - São Paulo , 02554-020",Casa Verde/Cachoeirinha
1209-2,-23.5073282,-46.4768511,Tradicional,Domingo,"Rua Glicerio Rodrigues, 50 - Vila Norma - São Paulo , 08062-140",São Miguel Paulista
1210-6,-23.5603159,-46.6580977,Tradicional,Domingo,"Al Min Rocha Azevedo, 1596 - Jd Paulista - São Paulo , 01410-002",Pinheiros
1212-2,-23.4499324,-46.6169143,Tradicional,Domingo,"Rua Maestro Bortolucci, 26 - Vila Albertina - São Paulo , 02357-040",Jaçanã/Tremenbé
1215-7,-23.6337323,-46.4609091,Tradicional,Domingo,"Rua Morro Das Pedras, 100 - Jd São Francisco - São Paulo , 08310-100",São Mateus
1217-3,-23.5264088,-46.408344,Tradicional,Domingo,"Rua Teodoro Bernardo Do Nascimento, 120 - Parque Sta Rita - São Paulo , 08150-000",Itaim Paulista
1218-1,-23.437648,-46.790687,Tradicional,Domingo,"Rua Florencio Carpi, 262 - Parque Anhanguera - São Paulo , 05267-080",Perus
1220-3,-23.4821219,-46.4235486,Tradicional,Domingo,"Av Jose Martins Lisboa, 10 - São Francisco - São Paulo , 08081-010",São Miguel Paulista
1221-1,-23.4816467,-46.6743189,Tradicional,Domingo,"Rua Cleusa Milochi, 163 - Cachoeirinha - São Paulo , 02762-070",Casa Verde/Cachoeirinha
1226-2,-23.5780832,-46.3923431,Tradicional,Domingo,"Rua Wilson Fernandes S Carvalho, 100 - Cid Tiradentes - São Paulo , 08473-000",Cidade Tiradentes
1227-0,-23.500598,-46.3686084,Tradicional,Domingo,"Rua Desem Isnard Dos Reis, 37 - Itaim Paulista - São Paulo , 08130-000",Itaim Paulista
1230-0,-23.3974225,-46.7555566,Tradicional,Domingo,"Rua Felipe Cardoso Campos, 10 - Vila Fanton - São Paulo , 05207-090",Perus
1234-3,-23.5301237,-46.5512971,Tradicional,Domingo,"Rua Guaiauna, 200 - Penha De Franca - São Paulo , 03631-000",Penha
