id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,cep,subprefeitura,lat,lng,geocode_status,distrito
1153-3,Domingo,Tradicional,Rua,Edward Carmilo,675,Jardim Celeste,05528-001,Butantã,-23.5979119,-46.7526382,painel_prefeitura,Vila Sonia
1154-1,Domingo,Tradicional,Rua,Major Quedinho,89,Consolacao,01050-030,Sé,-23.5488414,-46.6428115,painel_prefeitura,Republica
1155-0,Domingo,Tradicional,Avenida,Arquiteto Vila Nova Artigas,1,Sapopemba,03928-240,Sapopemba,-23.6146916,-46.5018814,painel_prefeitura,Sapopemba
1161-4,Domingo,Tradicional,Rua,Benedito Marcello,167,Parque São Paulo,04843-225,Capela do Socorro,-23.7386093,-46.6942265,painel_prefeitura,Grajau
1165-7,Domingo,Tradicional,Rua,Augusto Albereci,15,Jardim Nazare,08142-500,Itaim Paulista,-23.520027,-46.3981421,painel_prefeitura,Itaim Paulista
1171-1,Domingo,Tradicional,Rua,Tejuguacu,50,Vila Jacui,08060-310,São Miguel,-23.5051878,-46.4492369,painel_prefeitura,Vila Jacui
1173-8,Domingo,Tradicional,Rua,Inacio De Almeida Arruda,S/N,Vila Da Paz,04777-050,Capela do Socorro,-23.6934325,-46.6952504,painel_prefeitura,Cidade Dutra
1174-6,Domingo,Tradicional,Rua,Luar De Lagrimas,15,Jardim Novo Horizonte,04856-210,Capela do Socorro,-23.7767654,-46.6940843,painel_prefeitura,Grajau
1175-4,Domingo,Tradicional,Rua,Dos Andradas C/ Timbiras,100,Santa Efigenia,01208-000,Sé,-23.5391666,-46.6375803,painel_prefeitura,Republica
1177-0,Domingo,Tradicional,Rua,Modelar,50,Capao Redondo,05868-790,Campo Limpo,-23.6625003,-46.7796475,painel_prefeitura,Capao Redondo
1179-7,Domingo,Tradicional,Rua,Terra Brasileira,50,Vila Suica,08223-355,Itaquera,-23.5235473,-46.4729256,painel_prefeitura,Itaquera
1183-5,Domingo,Tradicional,Avenida,Utaro Kanai C/ Festa Chinesa,546,Jardim São Paulo,08465-000,Guaianases,-23.5656289,-46.3958944,painel_prefeitura,Guaianases
1184-3,Domingo,Tradicional,Rua,Bartolino De Padua,200,Itaquera,08470-780,Cidade Tiradentes,-23.5902566,-46.3948422,painel_prefeitura,Cidade Tiradentes
1190-8,Domingo,Tradicional,Rua,Ari Da Rocha Miranda,S/N,Vila Nova Galvao,02281-190,Jaçanã/Tremembé,-23.4523512,-46.577835,painel_prefeitura,Jacana
1192-4,Domingo,Tradicional,Rua,Santo Amaro,100,Bela ViSanta,01315-000,Sé,-23.5562868,-46.6400059,painel_prefeitura,Bela Vista
1193-2,Domingo,Tradicional,Rua,Cachoeira Do Arrependimento,100,Jardim Arpoador,05574-440,Butantã,-23.5863971,-46.8036992,painel_prefeitura,Raposo Tavares
1194-0,Domingo,Tradicional,Avenida,Bassano Del Grapa,100,Jardim Vila Carrao,08340-420,São Mateus,-23.6113772,-46.454893,painel_prefeitura,Sao Rafael
1197-5,Domingo,Tradicional,Rua,Salto De Itarare,30,Jardim JoSé Maria,02982-020,Pirituba/Jaraguá,-23.5557714,-46.6395571,painel_prefeitura,Republica
1198-3,Domingo,Tradicional,Alameda,Lorena,400,Jardim America,01424-002,Pinheiros,-23.5710914,-46.6581094,painel_prefeitura,Jardim Paulista
1199-1,Domingo,Tradicional,Rua,Nsra Bom Conselho,301,Pinheiros,05763-470,Campo Limpo,-23.6464736,-46.7575497,painel_prefeitura,Campo Limpo
1200-9,Domingo,Tradicional,Rua,Cel Euclides Machado,S/N,Jardim Das Gracas,02713-000,Casa Verde/Cachoeirinha,-23.5086361,-46.6870791,painel_prefeitura,Limao
1204-1,Domingo,Tradicional,Rua,Freire Brayner,121,Sacoma,04235-243,Ipiranga,-23.6043504,-46.5958974,painel_prefeitura,Ipiranga
1205-0,Domingo,Tradicional,Rua,Conde De Porto Alegre,50,Campo Belo,04608-000,Santo Amaro,-23.630215,-46.6807207,painel_prefeitura,Campo Belo
1207-6,Domingo,Tradicional,Avenida,Nascer Do Sol,100,Santa Etelvina Cohab,08485-020,Cidade Tiradentes,-23.591201,-46.4167177,painel_prefeitura,Cidade Tiradentes
1208-4,Domingo,Tradicional,Praça,Antonio Franco Velasco,0,Limao,02554-020,Casa Verde/Cachoeirinha,-23.5016505,-46.6713802,painel_prefeitura,Limao
1209-2,Domingo,Tradicional,Rua,Glicerio Rodrigues,50,Vila Norma,08062-140,São Miguel,-23.5073282,-46.4768511,painel_prefeitura,Vila Jacui
1210-6,Domingo,Tradicional,Alameda,Min Rocha Azevedo,1596,Jardim PauliSanta,01410-002,Pinheiros,-23.5603159,-46.6580977,painel_prefeitura,Jardim Paulista
1212-2,Domingo,Tradicional,Rua,Maestro Bortolucci,26,Vila Albertina,02357-040,Jaçanã/Tremembé,-23.4499324,-46.6169143,painel_prefeitura,Tremembe
